id,question,a,b,c,d,correct,difficulty,category,tags
1875,"Tree of Coprimes
There is a tree (i.e., a connected, undirected graph that has no cycles) consisting of n nodes numbered from 0 to n - 1 and exactly n - 1 edges. Each node has a value associated with it, and the root of the tree is node 0. To represent this tree, you are given an integer array nums and a 2D array edges. Each nums[i] represents the ith node's value, and each edges[j] = [uj, vj] represents an edge between nodes uj and vj in the tree. Two values x and y are coprime if gcd(x, y) == 1 where gcd(x, y) is the greatest common divisor of x and y. An ancestor of a node i is any other node on the shortest path from node i to the root. A node is not considered an ancestor of itself. Return an array ans of size n, where ans[i] is the closest ancestor to node i such that nums[i] and nums[ans[i]] are coprime, or -1 if there is no such ancestor.","Perform a Breadth-First Search (BFS) from the root, storing the path to each node and checking coprimality for all ancestors in the path.",Precompute all possible GCD values and store them in a lookup table to speed up coprimality checks during the traversal.,Sort the tree's nodes based on their values in the 'nums' array and then perform a linear search for coprime ancestors.,"For each node, perform a Depth-First Search (DFS) only up to a limited depth (e.g., 10) to find a coprime ancestor. If none is found, return -1.","Perform a Depth-First Search (DFS). Maintain a stack to track the path from the root, storing node values and depths. For each node, search for the closest coprime ancestor in the stack.",Hard,algorithms,"Math,Tree,Depth-First Search,Breadth-First Search"
1894,"Merge Strings Alternately
You are given two strings word1 and word2. Merge the strings by adding letters in alternating order, starting with word1. If a string is longer than the other, append the additional letters onto the end of the merged string. Return the merged string.","Use `zip` to iterate through both strings simultaneously, appending characters from each in turn, then adding any remaining characters from the longer string.",Create a new string by concatenating `word1` and `word2` and then sorting the characters alphabetically.,"Use recursion to alternately append characters from `word1` and `word2`, handling the base case where either string is empty.",Append `word2` to `word1` and then insert each character from `word1` into `word2` at alternating positions.,"Iterate through both strings using two pointers, appending characters alternately to a new string, and then appending any remaining characters from either string.",Easy,algorithms,"Two Pointers,String"
1895,"Minimum Number of Operations to Move All Balls to Each Box
You have n boxes. You are given a binary string boxes of length n, where boxes[i] is '0' if the ith box is empty, and '1' if it contains one ball. In one operation, you can move one ball from a box to an adjacent box. Box i is adjacent to box j if abs(i - j) == 1. Note that after doing so, there may be more than one ball in some boxes. Return an array answer of size n, where answer[i] is the minimum number of operations needed to move all the balls to the ith box. Each answer[i] is calculated considering the initial state of the boxes.","Precompute prefix and suffix sums of the ball counts, then combine them for each box.",Use dynamic programming to store the minimum operations for subranges of boxes.,Simulate moving all balls to each box individually and store the number of operations.,Calculate the total number of balls and divide it evenly among the boxes.,"Calculate the initial operations to move all balls to the first box, and then iteratively update the operations count for each subsequent box by considering the difference in distance.",Medium,algorithms,"Array,String"
1896,"Maximum Score from Performing Multiplication Operations
You are given two 0-indexed integer arrays nums and multipliers of size n and m respectively, where n >= m. You begin with a score of 0. You want to perform exactly m operations. On the ith operation (0-indexed) you will: Return the maximum score after performing m operations.",Greedily choose the largest multiplier and multiply it with the larger endpoint of nums.,Use dynamic programming with a state representing the number of operations performed so far.,Sort both arrays and then multiply corresponding elements.,Recursively try all possible combinations of multipliers and nums endpoints.,Use dynamic programming with a state representing the number of operations and the left pointer in nums.,Hard,algorithms,"Array,Dynamic Programming"
1897,"Maximize Palindrome Length From Subsequences
You are given two strings, word1 and word2. You want to construct a string in the following manner: Return the length of the longest palindrome that can be constructed in the described manner. If no palindromes can be constructed, return 0. A subsequence of a string s is a string that can be made by deleting some (possibly none) characters from s without changing the order of the remaining characters. A palindrome is a string that reads the same forward as well as backward.","Concatenate word1 and word2, then find the longest palindromic substring using dynamic programming.",Find the longest palindromic subsequence in word1 and word2 separately and return the maximum of the two.,"Check if word1 or word2 are palindromes, if not return 0. Otherwise return length of longest word.","Find the longest common subsequence of word1 and the reverse of word2, and double its length.","Find the longest palindromic subsequence within the concatenation of word1 and word2, prioritizing characters from both input strings.",Hard,algorithms,"String,Dynamic Programming"
1899,"Count Items Matching a Rule
You are given an array items, where each items[i] = [typei, colori, namei] describes the type, color, and name of the ith item. You are also given a rule represented by two strings, ruleKey and ruleValue. The ith item is said to match the rule if one of the following is true: Return the number of items that match the given rule.",Check if the `ruleKey` is 'name' and `items[i][0]` equals `ruleValue`.,Iterate through `items` and increment a counter if `ruleKey` is 'type' and `items[i][1]` matches `ruleValue`.,Use a dictionary to store rule keys and apply a filter based on the dictionary lookup.,Convert the `items` array to a string before applying the rule.,"Check if `ruleKey` is 'type', 'color', or 'name' and compare `ruleValue` with the corresponding element in `items[i]`.",Easy,algorithms,"Array,String"
1900,"Closest Dessert Cost
You would like to make dessert and are preparing to buy the ingredients. You have n ice cream base flavors and m types of toppings to choose from. You must follow these rules when making your dessert: You are given three inputs: You want to make a dessert with a total cost as close to target as possible. Return the closest possible cost of the dessert to target. If there are multiple, return the lower one.",Use dynamic programming to minimize the absolute difference between the dessert cost and the target.,"Sort the base costs and topping costs, then greedily select toppings until the target is reached or exceeded.","Calculate all possible dessert costs by considering all combinations of base costs and toppings, then find the closest to the target.",Apply a branch and bound approach to prune the search space and find the optimal dessert cost.,"Employ a recursive approach with backtracking to explore combinations of toppings, minimizing the absolute difference from the target cost.",Medium,algorithms,"Array,Dynamic Programming,Backtracking"
1901,"Equal Sum Arrays With Minimum Number of Operations
You are given two arrays of integers nums1 and nums2, possibly of different lengths. The values in the arrays are between 1 and 6, inclusive. In one operation, you can change any integer's value in any of the arrays to any value between 1 and 6, inclusive. Return the minimum number of operations required to make the sum of values in nums1 equal to the sum of values in nums2. Return -1​​​​​ if it is not possible to make the sum of the two arrays equal.",Sort both arrays and greedily change elements from the array with the larger sum to 1 and elements from the smaller sum to 6.,Calculate the absolute difference between the sums and divide by 5 (the maximum possible change in one operation).,Use dynamic programming to find the minimum number of operations to reach each possible intermediate sum.,Iterate through all possible combinations of changes in both arrays and find the minimum number of operations that equalize the sums.,"Count the frequency of each number in both arrays. Greedily change numbers from the array with the larger sum to 1 and numbers from the array with the smaller sum to 6, prioritizing the largest possible changes.",Medium,algorithms,"Array,Hash Table,Greedy,Counting"
1902,"Car Fleet II
There are n cars traveling at different speeds in the same direction along a one-lane road. You are given an array cars of length n, where cars[i] = [positioni, speedi] represents: For simplicity, cars can be considered as points moving along the number line. Two cars collide when they occupy the same position. Once a car collides with another car, they unite and form a single car fleet. The cars in the formed fleet will have the same position and the same speed, which is the initial speed of the slowest car in the fleet. Return an array answer, where answer[i] is the time, in seconds, at which the ith car collides with the next car, or -1 if the car does not collide with the next car. Answers within 10-5 of the actual answers are accepted.",Use binary search to find the next colliding car for each car.,Simulate the car movements step-by-step until all collisions are resolved.,"Iterate through the cars from left to right, only considering collisions with the immediate next car and updating speeds directly within the input array.",Calculate the time to collision for all pairs of cars and pick the smallest time for each car.,"Use a stack to maintain the indices of potentially colliding cars and calculate collision times efficiently, popping cars from the stack when they can't collide.",Hard,algorithms,"Array,Math,Stack,Heap (Priority Queue),Monotonic Stack"
1888,"Find Nearest Point That Has the Same X or Y Coordinate
You are given two integers, x and y, which represent your current location on a Cartesian grid: (x, y). You are also given an array points where each points[i] = [ai, bi] represents that a point exists at (ai, bi). A point is valid if it shares the same x-coordinate or the same y-coordinate as your location. Return the index (0-indexed) of the valid point with the smallest Manhattan distance from your current location. If there are multiple, return the valid point with the smallest index. If there are no valid points, return -1. The Manhattan distance between two points (x1, y1) and (x2, y2) is abs(x1 - x2) + abs(y1 - y2).",Return the index of the point with the largest Manhattan distance.,"Return the index of the first point in the array, regardless of validity or distance.",Ignore the x and y coordinates and return the point with the smallest index.,Return the index of a randomly chosen valid point.,"Calculate Manhattan distances for valid points, track the minimum distance and corresponding index, and return the smallest index among those with the minimum distance. Return -1 if no valid points exist.",Easy,algorithms,Array
1889,"Check if Number is a Sum of Powers of Three
Given an integer n, return true if it is possible to represent n as the sum of distinct powers of three. Otherwise, return false. An integer y is a power of three if there exists an integer x such that y == 3x.","Repeatedly divide n by 3 and check if the remainder is ever 2. If so, return false.",Generate all powers of three up to n and check if any combination sums to n.,"Convert n to base 2. If the digits are all 1 or 0, return true, else return false.","Check if n is divisible by 3. If so, recursively call the function with n/3.","Repeatedly divide n by 3. If the remainder is 2, return false. Otherwise, update n to n/3 until n is 0 or 1.",Medium,algorithms,Math
1890,"Sum of Beauty of All Substrings
The beauty of a string is the difference in frequencies between the most frequent and least frequent characters. Given a string s, return the sum of beauty of all of its substrings.",Use dynamic programming to store beauty values for overlapping substrings,Precompute character frequencies for all possible substring lengths to optimize calculations,"Employ a divide-and-conquer approach, recursively calculating beauty for smaller substrings and merging results",Sort the characters in the string and calculate the beauty based on the sorted string's prefixes and suffixes,"Iterate through all substrings, calculate the character frequencies for each, and sum the differences between maximum and minimum frequencies",Medium,algorithms,"Hash Table,String,Counting"
1891,"Count Pairs Of Nodes
You are given an undirected graph defined by an integer n, the number of nodes, and a 2D integer array edges, the edges in the graph, where edges[i] = [ui, vi] indicates that there is an undirected edge between ui and vi. You are also given an integer array queries. Let incident(a, b) be defined as the number of edges that are connected to either node a or b. The answer to the jth query is the number of pairs of nodes (a, b) that satisfy both of the following conditions: Return an array answers such that answers.length == queries.length and answers[j] is the answer of the jth query. Note that there can be multiple edges between the same two nodes.","Perform a Depth-First Search (DFS) or Breadth-First Search (BFS) for each query value, counting pairs that meet the condition.","Precompute all possible pairs' incident values and store them in a matrix, then iterate through the matrix for each query.","Sort the degrees of each node. Then, for each query, use binary search to find the range of pairs that could possibly satisfy the condition, then filter out invalid pairs.","Calculate the degree of each node. For each query, iterate through all possible pairs of nodes and count the pairs whose sum of degrees is greater than the query value.","Calculate the degree of each node. Sort the degrees. For each query, use two pointers to count pairs whose sum of degrees is greater than the query, accounting for overcounting due to shared edges.",Hard,algorithms,"Two Pointers,Binary Search,Graph"
1910,"Check if Binary String Has at Most One Segment of Ones
Given a binary string s ​​​​​without leading zeros, return true​​​ if s contains at most one contiguous segment of ones. Otherwise, return false.",Iterate through the string and count the number of transitions from '0' to '1'. Return true if the count is less than or equal to 1.,Use regular expressions to check if the string matches the pattern `0*1+0*`.,Split the string by '0' and check if the length of the resulting array is greater than 2.,Convert the binary string to an integer and check if its binary representation contains at most one contiguous segment of ones.,"Find the first occurrence of '0', then check if there are any '1's after that.",Easy,algorithms,String
1911,"Minimum Elements to Add to Form a Given Sum
You are given an integer array nums and two integers limit and goal. The array nums has an interesting property that abs(nums[i]) <= limit. Return the minimum number of elements you need to add to make the sum of the array equal to goal. The array must maintain its property that abs(nums[i]) <= limit. Note that abs(x) equals x if x >= 0, and -x otherwise.",Use dynamic programming to find the optimal combination of elements to add.,Sort the array and greedily add the limit value until the goal is reached.,"Calculate the difference between the current sum and the goal, then divide by the limit, always rounding up.",Calculate the mean of the array and add elements equal to the mean until the goal is achieved.,"Calculate the absolute difference between the current sum and the goal, then divide by the limit, rounding up to the nearest integer.",Medium,algorithms,"Array,Greedy"
1912,"Number of Restricted Paths From First to Last Node
There is an undirected weighted connected graph. You are given a positive integer n which denotes that the graph has n nodes labeled from 1 to n, and an array edges where each edges[i] = [ui, vi, weighti] denotes that there is an edge between nodes ui and vi with weight equal to weighti. A path from node start to node end is a sequence of nodes [z0, z1, z2, ..., zk] such that z0 = start and zk = end and there is an edge between zi and zi+1 where 0 <= i <= k-1. The distance of a path is the sum of the weights on the edges of the path. Let distanceToLastNode(x) denote the shortest distance of a path between node n and node x. A restricted path is a path that also satisfies that distanceToLastNode(zi) > distanceToLastNode(zi+1) where 0 <= i <= k-1. Return the number of restricted paths from node 1 to node n. Since that number may be too large, return it modulo 109 + 7.",Use Breadth-First Search (BFS) to explore all possible paths from node 1 to node n,"Apply Depth-First Search (DFS) with memoization, caching the number of restricted paths for each node","Utilize the Floyd-Warshall algorithm to precompute all-pairs shortest paths, then count restricted paths","Employ a greedy algorithm, always choosing the edge with the smallest weight to reach the next node","Compute shortest distances to node n using Dijkstra's algorithm, then use Dynamic Programming to count restricted paths",Medium,algorithms,"Dynamic Programming,Graph,Topological Sort,Heap (Priority Queue),Shortest Path"
1913,"Make the XOR of All Segments Equal to Zero
You are given an array nums​​​ and an integer k​​​​​. The XOR of a segment [left, right] where left <= right is the XOR of all the elements with indices between left and right, inclusive: nums[left] XOR nums[left+1] XOR ... XOR nums[right]. Return the minimum number of elements to change in the array such that the XOR of all segments of size k​​​​​​ is equal to zero.",Use dynamic programming to find the optimal assignment of values for each index,"Apply a greedy algorithm, changing elements to minimize the local XOR difference",Brute-force all possible combinations of element changes and check XOR sums,Calculate the prefix XOR array and then iterate through all possible segments,"Find the most frequent value for each index modulo k, and change other elements to that value",Hard,algorithms,"Array,Dynamic Programming,Bit Manipulation"
1942,"Primary Department for Each Employee
Table: Employee  Employees can belong to multiple departments. When the employee joins other departments, they need to decide which department is their primary department. Note that when an employee belongs to only one department, their primary column is 'N'. Write a solution to report all the employees with their primary department. For employees who belong to one department, report their only department. Return the result table in any order. The result format is in the following example.",Use a correlated subquery to find the employee's primary department based on the earliest entry.,Use a window function partitioned by employee ID to rank departments by entry date and select the top-ranked department.,Create a temporary table to store employee-department relationships and then use a self-join to find the primary department.,Use a GROUP BY clause with the HAVING COUNT(*) = 1 condition to find employees in only one department.,"Use a CASE statement to assign the primary department based on whether an employee is in more than one department, aggregating results using GROUP BY.",Easy,database systems,Database
1915,"Check if One String Swap Can Make Strings Equal
You are given two strings s1 and s2 of equal length. A string swap is an operation where you choose two indices in a string (not necessarily different) and swap the characters at these indices. Return true if it is possible to make both strings equal by performing at most one string swap on exactly one of the strings. Otherwise, return false.",Return `true` if the number of differing indices is exactly 1.,Return `true` if the strings are identical or have a Hamming distance of 2.,Return `true` if sorting both strings results in equal strings.,Return `true` if the number of differing indices is greater than 2.,"Return `true` if the strings are initially equal or if there are exactly two indices where the characters differ, and swapping the characters at those indices in either string makes them equal.",Easy,algorithms,"Hash Table,String,Counting"
1916,"Find Center of Star Graph
There is an undirected star graph consisting of n nodes labeled from 1 to n. A star graph is a graph where there is one center node and exactly n - 1 edges that connect the center node with every other node. You are given a 2D integer array edges where each edges[i] = [ui, vi] indicates that there is an edge between the nodes ui and vi. Return the center of the given star graph.",Return the node with the highest degree.,Calculate the average of all node labels in the edges array.,Return the node that appears first in the input array.,Find the node with the smallest label.,Return the common node from the first two edges in the edges array.,Easy,algorithms,Graph
1917,"Maximum Average Pass Ratio
There is a school that has classes of students and each class will be having a final exam. You are given a 2D integer array classes, where classes[i] = [passi, totali]. You know beforehand that in the ith class, there are totali total students, but only passi number of students will pass the exam. You are also given an integer extraStudents. There are another extraStudents brilliant students that are guaranteed to pass the exam of any class they are assigned to. You want to assign each of the extraStudents students to a class in a way that maximizes the average pass ratio across all the classes. The pass ratio of a class is equal to the number of students of the class that will pass the exam divided by the total number of students of the class. The average pass ratio is the sum of pass ratios of all the classes divided by the number of the classes. Return the maximum possible average pass ratio after assigning the extraStudents students. Answers within 10-5 of the actual answer will be accepted.","Use a greedy approach, assigning each extra student to the class with the largest current pass ratio",Distribute the extra students evenly among all classes to maintain fairness,Calculate the standard deviation of pass ratios and assign students to classes farthest from the mean,Prioritize classes with the smallest total number of students to maximize individual pass ratio increases,Use a max heap to prioritize classes based on the potential increase in average pass ratio for each additional student,Medium,algorithms,"Array,Greedy,Heap (Priority Queue)"
1918,"Maximum Score of a Good Subarray
You are given an array of integers nums (0-indexed) and an integer k. The score of a subarray (i, j) is defined as min(nums[i], nums[i+1], ..., nums[j]) * (j - i + 1). A good subarray is a subarray where i <= k <= j. Return the maximum possible score of a good subarray.",Divide the array into two halves and recursively find the maximum score in each half.,"Iterate through all possible subarrays and calculate the score for each, keeping track of the maximum.",Sort the array and then consider subarrays centered around the element at index k.,Use dynamic programming to store the minimum value for subarrays ending at each index.,"Use two pointers, expanding outwards from index k, maintaining the minimum value encountered, and calculating the score at each step.",Hard,algorithms,"Array,Two Pointers,Binary Search,Stack,Monotonic Stack"
1948,"Rearrange Products Table
Table: Products  Write a solution to rearrange the Products table so that each row has (product_id, store, price). If a product is not available in a store, do not include a row with that product_id and store combination in the result table. Return the result table in any order. The result format is in the following example.",Use GROUP BY and aggregate all stores and prices into a JSON array.,Pivot the table using conditional aggregation (CASE statements) to create columns for each store.,Create a cross join of product_id with a table of stores and then filter based on price availability.,Use window functions to rank products within each store and then select the top-ranked product.,Use UNPIVOT or multiple UNION ALL statements to transform the store columns into rows.,Easy,database systems,Database
1904,"Second Largest Digit in a String
Given an alphanumeric string s, return the second largest numerical digit that appears in s, or -1 if it does not exist. An alphanumeric string is a string consisting of lowercase English letters and digits.",Return the length of the string if the number of distinct digits is less than 2,"Sort the string and return the digit at index 1 if it exists, otherwise return -1",Use a hash map to count the occurrences of each digit and return the most frequent digit,Return the largest digit minus 1,"Use a set to store unique digits, remove the largest, and return the new largest, or -1 if the set has fewer than two elements",Easy,algorithms,"Hash Table,String"
1905,"Design Authentication Manager
There is an authentication system that works with authentication tokens. For each session, the user will receive a new authentication token that will expire timeToLive seconds after the currentTime. If the token is renewed, the expiry time will be extended to expire timeToLive seconds after the (potentially different) currentTime. Implement the AuthenticationManager class: Note that if a token expires at time t, and another action happens on time t (renew or countUnexpiredTokens), the expiration takes place before the other actions.",Use a single hash table to store tokens and their creation timestamps; iterate through the entire table for each unexpired token count.,Employ a sorted list to keep tokens and their expiry times. Binary search for expired tokens for deletion; linear search for unexpired count.,Implement two separate hash tables: one for active tokens and another for expired tokens. Move tokens between tables based on time.,Store tokens and expiry times in a relational database with appropriate indexes. Use SQL queries for token operations and counting.,Maintain a hash table of tokens with expiry times; lazily remove expired tokens during renew and count operations based on the current time.,Medium,system design,"Hash Table,Design"
1930,"Maximum Number of Consecutive Values You Can Make
You are given an integer array coins of length n which represents the n coins that you own. The value of the ith coin is coins[i]. You can make some value x if you can choose some of your n coins such that their values sum up to x. Return the maximum number of consecutive integer values that you can make with your coins starting from and including 0. Note that you may have multiple coins of the same value.",Sort the coins array in descending order and greedily select coins until the target value is reached or exceeded.,"Use dynamic programming to build a table of possible sums, then iterate through the table to find the maximum consecutive range.","Calculate the sum of all coins, and return that sum plus 1, assuming all values in between can be formed.",Find the smallest coin and multiply it by the number of coins.,"Sort the coins in ascending order and iteratively update the maximum reachable value, adding the next coin's value if it's within reach.",Medium,algorithms,"Array,Greedy"
1906,"Maximize Score After N Operations
You are given nums, an array of positive integers of size 2 * n. You must perform n operations on this array. In the ith operation (1-indexed), you will: Return the maximum score you can receive after performing n operations. The function gcd(x, y) is the greatest common divisor of x and y.","Use a greedy approach, always selecting the pair with the largest sum",Sort the array and then pair the largest and smallest elements in each operation,Calculate all possible pairings and store the maximum score in a hash map,Recursively explore all possible combinations of pairs without memoization,Use dynamic programming with bitmasking to memoize the maximum score for each subset of numbers chosen,Hard,algorithms,"Array,Math,Dynamic Programming,Backtracking,Bit Manipulation,Number Theory,Bitmask"
1927,"Maximum Ascending Subarray Sum
Given an array of positive integers nums, return the maximum possible sum of an strictly increasing subarray in nums. A subarray is defined as a contiguous sequence of numbers in an array.",Using Dijkstra's algorithm to find the shortest path,Applying Kadane's algorithm to find the maximum sum of any subarray,Sorting the array and summing elements sequentially,Calculating the sum of all possible subarrays and choosing the maximum,"Iterating through the array, tracking the current ascending subarray sum, and updating the maximum sum encountered",Easy,algorithms,Array
1928,"Number of Orders in the Backlog
You are given a 2D integer array orders, where each orders[i] = [pricei, amounti, orderTypei] denotes that amounti orders have been placed of type orderTypei at the price pricei. The orderTypei is: Note that orders[i] represents a batch of amounti independent orders with the same price and order type. All orders represented by orders[i] will be placed before all orders represented by orders[i+1] for all valid i. There is a backlog that consists of orders that have not been executed. The backlog is initially empty. When an order is placed, the following happens: Return the total amount of orders in the backlog after placing all the orders from the input. Since this number can be large, return it modulo 109 + 7.","Process each order by immediately executing it if a matching order of the opposite type exists, prioritizing orders with the best price, and adding any remaining amount to the backlog.","Sort the orders array by price, then process each order, executing matching orders and adding remainders to the backlog without considering order types.","Calculate the total number of buy orders and sell orders separately, and the backlog consists of the difference of buy and sell orders.","Maintain separate backlogs for buy and sell orders using priority queues, and process each incoming order by matching it against the opposite backlog's best price, updating the backlog accordingly.","Use two priority queues (min-heap for sell orders, max-heap for buy orders) to maintain the backlogs, process each order by matching it against the best price in the opposite queue, and return the sum of the remaining orders in both queues modulo 10^9 + 7.",Medium,algorithms,"Array,Heap (Priority Queue),Simulation"
1929,"Maximum Value at a Given Index in a Bounded Array
You are given three positive integers: n, index, and maxSum. You want to construct an array nums (0-indexed) that satisfies the following conditions: Return nums[index] of the constructed array. Note that abs(x) equals x if x >= 0, and -x otherwise.",Binary search the entire possible range for `nums[index]` linearly.,"Use dynamic programming to compute the optimal array, memoizing intermediate results.",Initialize the array with a uniform distribution and iteratively adjust elements around `index`.,Apply a greedy algorithm by always assigning the maximum possible value to `nums[index]` initially.,Use binary search on the possible values of `nums[index]` and check if the resulting array's sum is within `maxSum`.,Medium,algorithms,"Binary Search,Greedy"
1907,"Count Pairs With XOR in a Range
Given a (0-indexed) integer array nums and two integers low and high, return the number of nice pairs. A nice pair is a pair (i, j) where 0 <= i < j < nums.length and low <= (nums[i] XOR nums[j]) <= high.","Use a nested loop to check XOR values for all pairs, resulting in O(n^2) time complexity.","Sort the array first, then use binary search to find the range of XOR values for each element.",Use dynamic programming to store XOR values of prefixes and suffixes of the array.,Calculate the XOR of all elements and check if it falls within the range.,Use a Trie data structure to efficiently count the number of elements within the XOR range for each element.,Hard,algorithms,"Array,Bit Manipulation,Trie"
1933,"Number of Different Integers in a String
You are given a string word that consists of digits and lowercase English letters. You will replace every non-digit character with a space. For example, ""a123bc34d8ef34"" will become "" 123  34 8  34"". Notice that you are left with some integers that are separated by at least one space: ""123"", ""34"", ""8"", and ""34"". Return the number of different integers after performing the replacement operations on word. Two integers are considered different if their decimal representations without any leading zeros are different.","Split the string by non-digit characters, then convert each resulting substring to an integer and count distinct values, ignoring leading zeros.",Replace all non-digit characters with empty strings and convert the string to an integer; count distinct characters.,"Iterate through the string and, for each digit, compute the integer value using ASCII values directly; then count the distinct digits.","Use regular expressions to extract all sequences of digits, sort them lexicographically, and count the unique strings.","Replace non-digits with spaces, split into substrings, convert to integers removing leading zeros, and count distinct values.",Easy,algorithms,"Hash Table,String"
1935,"Minimum Number of Operations to Reinitialize a Permutation
You are given an even integer n​​​​​​. You initially have a permutation perm of size n​​ where perm[i] == i​ (0-indexed)​​​​. In one operation, you will create a new array arr, and for each i: You will then assign arr​​​​ to perm. Return the minimum non-zero number of operations you need to perform on perm to return the permutation to its initial value.",O(n log n),O(n!),O(n^2),O(log n),O(n),Medium,algorithms,"Array,Math,Simulation"
1934,"Evaluate the Bracket Pairs of a String
You are given a string s that contains some bracket pairs, with each pair containing a non-empty key. You know the values of a wide range of keys. This is represented by a 2D string array knowledge where each knowledge[i] = [keyi, valuei] indicates that key keyi has a value of valuei. You are tasked to evaluate all of the bracket pairs. When you evaluate a bracket pair that contains some key keyi, you will: Each key will appear at most once in your knowledge. There will not be any nested brackets in s. Return the resulting string after evaluating all of the bracket pairs.",Use regular expressions to match bracket pairs and replace them directly using the knowledge base.,"Parse the string character by character, maintaining a stack to track bracket depth, and perform substitutions using the knowledge base.","Convert the string to a list of tokens, then iterate through the tokens, substituting bracketed tokens that are present in knowledge, else defaulting to an empty string.",Sort the 'knowledge' array alphabetically and then use binary search to locate keys in the bracket pairs for substitution.,"Iterate through the string, identify bracket pairs, look up the key in 'knowledge', and substitute with the value or ""?"" if not found.",Medium,algorithms,"Array,Hash Table,String"
1936,"Maximize Number of Nice Divisors
You are given a positive integer primeFactors. You are asked to construct a positive integer n that satisfies the following conditions: Return the number of nice divisors of n. Since that number can be too large, return it modulo 109 + 7. Note that a prime number is a natural number greater than 1 that is not a product of two smaller natural numbers. The prime factors of a number n is a list of prime numbers such that their product equals n.","Decompose primeFactors into factors of 2 and 3, then calculate 2^x * 3^y modulo 10^9 + 7",Return primeFactors directly modulo 10^9 + 7,Calculate primeFactors! (factorial) modulo 10^9 + 7,Return primeFactors * 2 modulo 10^9 + 7,"Maximize the number of factors of 3 (or 2 if primeFactors < 3), and use modular exponentiation for efficiency.",Hard,algorithms,"Math,Recursion"
1920,"Determine Color of a Chessboard Square
You are given coordinates, a string that represents the coordinates of a square of the chessboard. Below is a chessboard for your reference.  Return true if the square is white, and false if the square is black. The coordinate will always represent a valid chessboard square. The coordinate will always have the letter first, and the number second.",Check if the sum of the ASCII values of the column and row is even.,Convert the coordinate string to a complex number and check its imaginary part.,Use a lookup table containing the color of all 64 squares.,"Return true if the row is even, regardless of the column.",Check if the column (letter) and row (number) are both even or both odd.,Easy,algorithms,"Math,String"
1923,"Sentence Similarity III
You are given two strings sentence1 and sentence2, each representing a sentence composed of words. A sentence is a list of words that are separated by a single space with no leading or trailing spaces. Each word consists of only uppercase and lowercase English characters. Two sentences s1 and s2 are considered similar if it is possible to insert an arbitrary sentence (possibly empty) inside one of these sentences such that the two sentences become equal. Note that the inserted sentence must be separated from existing words by spaces. For example, Given two sentences sentence1 and sentence2, return true if sentence1 and sentence2 are similar. Otherwise, return false.","Split both strings into arrays of words, then check if one array is a substring of the other.",Compare the lengths of the sentences; the shorter sentence must be a prefix of the longer sentence for similarity.,Concatenate the sentences in both orders (sentence1 + sentence2 and sentence2 + sentence1) and check if either concatenation contains the other as a substring.,Calculate the Levenshtein distance between the two sentences and compare it to a threshold.,Compare the prefixes and suffixes of the two sentences to identify common words and potential insertion points.,Medium,algorithms,"Array,Two Pointers,String"
1925,"Count Nice Pairs in an Array
You are given an array nums that consists of non-negative integers. Let us define rev(x) as the reverse of the non-negative integer x. For example, rev(123) = 321, and rev(120) = 21. A pair of indices (i, j) is nice if it satisfies all of the following conditions: Return the number of nice pairs of indices. Since that number can be too large, return it modulo 109 + 7.",Store the frequency of nums[i] - rev(nums[i]) in a hash map and sum the frequencies,Sort the array and count pairs where nums[i] + rev(nums[i]) == nums[j] + rev(nums[j]),"Use nested loops to check every pair (i, j) if nums[i] + rev(nums[j]) == nums[j] + rev(nums[i])",Find the minimum element in the array and subtract it from all elements before processing,"Calculate nums[i] - rev(nums[i]) for each element, count occurrences of each difference, and apply the formula n*(n-1)/2 to each count (modulo 10^9 + 7)",Medium,algorithms,"Array,Hash Table,Math,Counting"
1924,"Maximum Number of Groups Getting Fresh Donuts
There is a donuts shop that bakes donuts in batches of batchSize. They have a rule where they must serve all of the donuts of a batch before serving any donuts of the next batch. You are given an integer batchSize and an integer array groups, where groups[i] denotes that there is a group of groups[i] customers that will visit the shop. Each customer will get exactly one donut. When a group visits the shop, all customers of the group must be served before serving any of the following groups. A group will be happy if they all get fresh donuts. That is, the first customer of the group does not receive a donut that was left over from the previous group. You can freely rearrange the ordering of the groups. Return the maximum possible number of happy groups after rearranging the groups.",Sort the groups array and then use dynamic programming to find the optimal arrangement.,"Use a greedy approach, prioritizing groups with sizes closest to batchSize.",Try all possible permutations of the groups array and count the happy groups for each permutation.,Recursively divide the groups array into smaller subproblems and solve each subproblem optimally.,Use dynamic programming to track the maximum number of happy groups for each possible remainder modulo batchSize.,Hard,algorithms,"Array,Dynamic Programming,Bit Manipulation,Memoization,Bitmask"
1944,"Truncate Sentence
A sentence is a list of words that are separated by a single space with no leading or trailing spaces. Each of the words consists of only uppercase and lowercase English letters (no punctuation). You are given a sentence s​​​​​​ and an integer k​​​​​​. You want to truncate s​​​​​​ such that it contains only the first k​​​​​​ words. Return s​​​​​​ after truncating it.",Use `s.split()` with no arguments to return the original string,"Use `s.rsplit(' ', k)` to split from the right side.",Use `s.partition(' ')[0]` to get the first word,Use regular expressions to capture the first k words.,Use `s.split(' ')[:k]` to split into words and take the first k.,Easy,algorithms,"Array,String"
